Profit,Segment,Category
$3.77,Consumer,Furniture
$5.14,Consumer,Furniture
$8.73,Consumer,Furniture
$4.14,Corporate,Furniture
$24.48,Consumer,Furniture
$23.32,Corporate,Furniture
$8.56,Consumer,Furniture
($3.84),Consumer,Furniture
$2.00,Corporate,Furniture
$1.25,Corporate,Furniture
$2.55,Corporate,Furniture
($2.10),Corporate,Furniture
$13.79,Consumer,Furniture
$0.00,Consumer,Furniture
$41.26,Consumer,Furniture
$3.67,Corporate,Furniture
($3.03),Consumer,Furniture
$48.95,Consumer,Furniture
$2.29,Consumer,Furniture
$2.46,Consumer,Furniture
$6.29,Consumer,Furniture
$28.13,Consumer,Furniture
$1.57,Consumer,Furniture
$3.11,Consumer,Furniture
$4.84,Consumer,Furniture
$12.14,Corporate,Furniture
$4.37,Corporate,Furniture
$20.72,Home Office,Furniture
$1.74,Consumer,Furniture
$29.77,Consumer,Furniture
($26.64),Corporate,Furniture
$11.63,Home Office,Furniture
$2.17,Consumer,Furniture
$4.28,Consumer,Furniture
$22.38,Corporate,Furniture
$0.74,Corporate,Furniture
$6.29,Home Office,Furniture
$4.04,Consumer,Furniture
$8.08,Home Office,Furniture
$15.29,Home Office,Furniture
$9.18,Corporate,Furniture
$5.73,Consumer,Furniture
$6.22,Corporate,Furniture
$1.07,Consumer,Furniture
($5.68),Home Office,Furniture
$6.36,Consumer,Furniture
$3.34,Consumer,Furniture
$7.30,Corporate,Furniture
$69.00,Consumer,Furniture
$3.73,Consumer,Furniture
$7.82,Home Office,Furniture
$1.61,Consumer,Furniture
$29.66,Home Office,Furniture
$3.86,Corporate,Furniture
$1.44,Corporate,Furniture
$3.68,Corporate,Furniture
$3.79,Corporate,Furniture
($36.47),Consumer,Furniture
$11.07,Consumer,Furniture
$14.55,Consumer,Furniture
$13.85,Corporate,Furniture
$14.30,Corporate,Furniture
$55.02,Consumer,Furniture
$0.00,Consumer,Furniture
($2.28),Consumer,Furniture
$190.43,Corporate,Furniture
$0.42,Consumer,Furniture
$3.95,Consumer,Furniture
($21.47),Consumer,Furniture
$3.28,Home Office,Furniture
$7.44,Home Office,Furniture
$1.42,Consumer,Furniture
$4.24,Consumer,Furniture
$10.39,Consumer,Furniture
$15.07,Consumer,Furniture
$10.98,Consumer,Furniture
$8.30,Corporate,Furniture
$15.59,Consumer,Furniture
$5.78,Corporate,Furniture
$3.56,Corporate,Furniture
$9.67,Consumer,Furniture
$1.92,Home Office,Furniture
$1.33,Home Office,Furniture
$1.57,Home Office,Furniture
$5.93,Home Office,Furniture
$2.00,Consumer,Furniture
$5.37,Corporate,Furniture
$15.99,Corporate,Furniture
$4.01,Consumer,Furniture
$1.07,Corporate,Furniture
$5.37,Corporate,Furniture
$7.50,Home Office,Furniture
$12.99,Consumer,Furniture
$12.11,Consumer,Furniture
$1.85,Corporate,Furniture
($18.18),Corporate,Furniture
$7.70,Corporate,Furniture
$3.95,Consumer,Furniture
$89.31,Corporate,Furniture
$7.70,Home Office,Furniture
$61.38,Corporate,Furniture
$1.37,Corporate,Furniture
$5.50,Corporate,Furniture
$1.74,Home Office,Furniture
$19.08,Consumer,Furniture
$9.57,Consumer,Furniture
($51.29),Consumer,Furniture
$16.32,Home Office,Furniture
$3.52,Home Office,Furniture
$20.39,Consumer,Furniture
$8.21,Corporate,Furniture
$46.63,Corporate,Furniture
($3.90),Corporate,Furniture
$1.27,Consumer,Furniture
$7.27,Corporate,Furniture
$31.58,Consumer,Furniture
($9.09),Consumer,Furniture
$10.10,Consumer,Furniture
$14.31,Consumer,Furniture
$0.00,Home Office,Furniture
$19.04,Consumer,Furniture
($0.34),Home Office,Furniture
$14.45,Consumer,Furniture
$148.85,Consumer,Furniture
($13.32),Consumer,Furniture
$0.00,Corporate,Furniture
$15.59,Consumer,Furniture
$1.07,Corporate,Furniture
$7.01,Consumer,Furniture
$3.34,Consumer,Furniture
$4.66,Consumer,Furniture
$0.00,Consumer,Furniture
$12.89,Home Office,Furniture
$25.18,Consumer,Furniture
$6.04,Consumer,Furniture
$0.74,Corporate,Furniture
$6.59,Consumer,Furniture
($11.69),Home Office,Furniture
$8.94,Home Office,Furniture
$7.69,Consumer,Furniture
$4.00,Corporate,Furniture
($8.28),Home Office,Furniture
$3.35,Consumer,Furniture
$1.41,Corporate,Furniture
($18.24),Consumer,Furniture
$9.35,Corporate,Furniture
$16.01,Corporate,Furniture
$3.03,Consumer,Furniture
$45.95,Corporate,Furniture
$2.60,Corporate,Furniture
$5.78,Consumer,Furniture
$12.67,Consumer,Furniture
$9.83,Home Office,Furniture
$16.85,Consumer,Furniture
($3.69),Consumer,Furniture
$4.77,Consumer,Furniture
$8.29,Home Office,Furniture
($4.16),Corporate,Furniture
$33.16,Consumer,Furniture
$0.96,Consumer,Furniture
$8.55,Corporate,Furniture
$9.78,Consumer,Furniture
$10.39,Consumer,Furniture
$9.68,Home Office,Furniture
$45.47,Corporate,Furniture
$16.32,Corporate,Furniture
$34.97,Consumer,Furniture
$0.00,Consumer,Furniture
$7.11,Consumer,Furniture
$4.10,Consumer,Furniture
$15.53,Consumer,Furniture
$10.35,Corporate,Furniture
$0.78,Corporate,Furniture
$21.11,Home Office,Furniture
($12.91),Home Office,Furniture
$75.54,Home Office,Furniture
$7.64,Consumer,Furniture
$28.60,Consumer,Furniture
($29.48),Corporate,Furniture
$56.58,Corporate,Furniture
$1.70,Corporate,Furniture
$0.50,Home Office,Furniture
$11.52,Home Office,Furniture
$5.11,Home Office,Furniture
$3.35,Consumer,Furniture
$8.47,Corporate,Furniture
$23.32,Consumer,Furniture
$0.99,Consumer,Furniture
$36.23,Consumer,Furniture
$3.48,Consumer,Furniture
$6.49,Home Office,Furniture
$1.76,Consumer,Furniture
($68.39),Corporate,Furniture
$3.95,Corporate,Furniture
$12.33,Corporate,Furniture
$4.33,Consumer,Furniture
$0.65,Consumer,Furniture
$0.00,Home Office,Furniture
$5.28,Consumer,Furniture
$5.28,Consumer,Furniture
$7.21,Consumer,Furniture
$2.25,Consumer,Furniture
$5.02,Consumer,Furniture
($68.39),Home Office,Furniture
$2.37,Home Office,Furniture
$13.85,Consumer,Furniture
$12.08,Consumer,Furniture
$3.84,Home Office,Furniture
$1.50,Consumer,Furniture
$19.34,Consumer,Furniture
$9.72,Consumer,Furniture
($5.45),Corporate,Furniture
$0.66,Corporate,Furniture
$6.85,Corporate,Furniture
$7.79,Corporate,Furniture
$10.39,Corporate,Furniture
$9.54,Corporate,Furniture
$16.89,Corporate,Furniture
($24.96),Corporate,Furniture
$3.01,Consumer,Furniture
$4.80,Consumer,Furniture
$1.20,Consumer,Furniture
$6.42,Consumer,Furniture
$11.65,Consumer,Furniture
$0.00,Corporate,Furniture
$4.77,Corporate,Furniture
$7.30,Corporate,Furniture
($30.39),Consumer,Furniture
$2.70,Corporate,Furniture
$6.39,Consumer,Furniture
$3.14,Consumer,Furniture
$15.39,Consumer,Furniture
$9.48,Home Office,Furniture
($34.20),Consumer,Furniture
$16.56,Corporate,Technology
$62.99,Corporate,Technology
$2.10,Consumer,Technology
$15.24,Home Office,Technology
$11.19,Consumer,Technology
$56.69,Corporate,Technology
$28.72,Consumer,Technology
$22.30,Corporate,Technology
$27.72,Consumer,Technology
$341.99,Consumer,Technology
$38.09,Corporate,Technology
$52.92,Consumer,Technology
$9.24,Consumer,Technology
$30.48,Consumer,Technology
($20.14),Consumer,Technology
$30.08,Consumer,Technology
$22.68,Corporate,Technology
$0.90,Consumer,Technology
$85.25,Consumer,Technology
$248.00,Consumer,Technology
$5.18,Corporate,Technology
$20.25,Consumer,Technology
$2.59,Consumer,Technology
$56.00,Consumer,Technology
$6.00,Consumer,Technology
$85.25,Consumer,Technology
$25.19,Corporate,Technology
$0.69,Consumer,Technology
$17.00,Consumer,Technology
$107.99,Consumer,Technology
$71.99,Corporate,Technology
$15.12,Corporate,Technology
$35.00,Consumer,Technology
$23.10,Corporate,Technology
$148.49,Consumer,Technology
$6.00,Home Office,Technology
$39.69,Home Office,Technology
$22.68,Consumer,Technology
($87.67),Consumer,Technology
$12.00,Consumer,Technology
$1.38,Consumer,Technology
$126.90,Home Office,Technology
$49.50,Home Office,Technology
$23.80,Consumer,Technology
$11.20,Consumer,Technology
$3.83,Home Office,Technology
$36.00,Consumer,Technology
$11.43,Home Office,Technology
$211.50,Consumer,Technology
$70.55,Consumer,Technology
$6.70,Corporate,Technology
$4.14,Home Office,Technology
$8.14,Consumer,Technology
$37.80,Consumer,Technology
$78.40,Corporate,Technology
$54.59,Consumer,Technology
$13.72,Consumer,Technology
$27.00,Consumer,Technology
$0.69,Home Office,Technology
$50.40,Home Office,Technology
$25.20,Corporate,Technology
$49.26,Home Office,Technology
$31.20,Corporate,Technology
$7.77,Corporate,Technology
$9.60,Consumer,Technology
$107.46,Corporate,Technology
$20.16,Corporate,Technology
$7.92,Home Office,Technology
$2.04,Home Office,Technology
$9.45,Consumer,Technology
$19.76,Home Office,Technology
$16.68,Home Office,Technology
$68.20,Home Office,Technology
($43.83),Home Office,Technology
$29.50,Home Office,Technology
$2.71,Consumer,Technology
$4.48,Consumer,Technology
$60.96,Home Office,Technology
$2.70,Home Office,Technology
$5.59,Corporate,Technology
$19.76,Consumer,Technology
$30.79,Corporate,Technology
$9.00,Home Office,Technology
$119.00,Corporate,Technology
$10.08,Corporate,Technology
$51.50,Consumer,Technology
$114.00,Consumer,Technology
$10.92,Home Office,Technology
$6.80,Consumer,Technology
$36.00,Consumer,Technology
$14.00,Corporate,Technology
($20.14),Home Office,Technology
$110.12,Corporate,Technology
$4.80,Consumer,Technology
$22.86,Corporate,Technology
($13.29),Consumer,Technology
$1.03,Consumer,Technology
$6.29,Consumer,Technology
$327.59,Consumer,Technology
$38.40,Consumer,Technology
($5.69),Consumer,Technology
$13.44,Consumer,Technology
$16.70,Consumer,Technology
$53.75,Consumer,Technology
$49.44,Consumer,Technology
$86.39,Consumer,Technology
$38.78,Consumer,Technology
$20.16,Consumer,Technology
($9.15),Consumer,Technology
$83.51,Consumer,Technology
$16.68,Consumer,Technology
$4.36,Corporate,Technology
$19.80,Corporate,Technology
$7.00,Consumer,Technology
$1.68,Corporate,Technology
$58.38,Corporate,Technology
($7.01),Consumer,Technology
$37.79,Consumer,Technology
$125.20,Home Office,Technology
$9.24,Corporate,Technology
($14.60),Corporate,Technology
$4.36,Consumer,Technology
$7.77,Consumer,Technology
($9.00),Consumer,Technology
($5.69),Corporate,Technology
$3.48,Consumer,Technology
$27.99,Corporate,Technology
$47.46,Consumer,Technology
($7.30),Home Office,Technology
($7.17),Home Office,Technology
$8.77,Consumer,Technology
$5.74,Corporate,Technology
$4.14,Consumer,Technology
$31.20,Consumer,Technology
$19.97,Home Office,Technology
$9.00,Home Office,Technology
$34.50,Consumer,Technology
$25.19,Corporate,Technology
$19.20,Corporate,Technology
$28.35,Corporate,Technology
$47.98,Consumer,Technology
($17.99),Consumer,Technology
($4.68),Consumer,Technology
$18.00,Home Office,Technology
$27.10,Corporate,Technology
$8.64,Corporate,Technology
$19.97,Consumer,Technology
$13.57,Corporate,Technology
$22.68,Consumer,Technology
$13.86,Consumer,Technology
$50.40,Consumer,Technology
$24.48,Corporate,Technology
$10.79,Consumer,Technology
$75.60,Consumer,Technology
$70.56,Consumer,Technology
$38.36,Consumer,Technology
($31.49),Consumer,Technology
$25.02,Home Office,Technology
$58.46,Corporate,Technology
$27.00,Corporate,Technology
$3.50,Consumer,Technology
$125.20,Consumer,Technology
$4.20,Consumer,Technology
$29.50,Consumer,Technology
$10.77,Consumer,Technology
$16.68,Home Office,Technology
$14.60,Consumer,Technology
$42.50,Home Office,Technology
$25.06,Home Office,Technology
($16.55),Corporate,Technology
$17.64,Home Office,Technology
$16.70,Consumer,Technology
$4.96,Corporate,Technology
($14.34),Corporate,Technology
$4.62,Corporate,Technology
$32.93,Consumer,Technology
$13.17,Consumer,Technology
$10.88,Consumer,Technology
$38.16,Corporate,Technology
$38.40,Home Office,Technology
($3.00),Corporate,Technology
$15.74,Consumer,Technology
$27.30,Consumer,Technology
$250.40,Consumer,Technology
$13.86,Home Office,Technology
$9.24,Consumer,Technology
$84.60,Consumer,Technology
$60.48,Home Office,Technology
$4.96,Corporate,Technology
$22.68,Home Office,Technology
$31.20,Home Office,Technology
$59.49,Home Office,Technology
$27.00,Corporate,Technology
$223.99,Corporate,Technology
$19.97,Home Office,Technology
$9.18,Home Office,Technology
$19.60,Corporate,Technology
$8.35,Corporate,Technology
$3.60,Home Office,Technology
$3.48,Consumer,Technology
$1.40,Corporate,Technology
($32.38),Consumer,Technology
$19.76,Corporate,Technology
$144.00,Consumer,Technology
$9.24,Consumer,Technology
$21.54,Corporate,Technology
$13.57,Consumer,Technology
$70.20,Consumer,Technology
$9.00,Consumer,Technology
$34.18,Consumer,Technology
$75.18,Corporate,Technology
$2.60,Corporate,Technology
$15.60,Consumer,Technology
$19.18,Home Office,Technology
$50.12,Consumer,Technology
$36.45,Consumer,Technology
($7.01),Home Office,Technology
$123.47,Corporate,Technology
$41.76,Home Office,Technology
$9.00,Consumer,Technology
$376.11,Consumer,Technology
$0.60,Home Office,Technology
$6.30,Consumer,Technology
$41.58,Corporate,Technology
$28.62,Corporate,Technology
$5.60,Consumer,Technology
$1.58,Corporate,Technology
$25.19,Consumer,Technology
$52.49,Consumer,Technology
$118.29,Corporate,Technology
($9.15),Consumer,Technology
$5.21,Consumer,Technology
$62.99,Consumer,Technology
$150.36,Home Office,Technology
$47.04,Consumer,Technology
$107.96,Corporate,Technology
$15.60,Corporate,Technology
$4.08,Consumer,Technology
$54.00,Consumer,Technology
$8.50,Home Office,Technology
$46.10,Corporate,Technology
$24.73,Consumer,Technology
$19.04,Corporate,Technology
$28.77,Corporate,Technology
$16.70,Consumer,Technology
$15.07,Consumer,Technology
$55.44,Corporate,Technology
$20.16,Consumer,Technology
$49.32,Consumer,Technology
$12.00,Home Office,Technology
$51.50,Consumer,Technology
$52.92,Consumer,Technology
$13.44,Corporate,Technology
$13.86,Corporate,Technology
$21.74,Corporate,Technology
$22.49,Corporate,Technology
$265.42,Home Office,Technology
$32.40,Consumer,Technology
$14.76,Home Office,Technology
$2.39,Consumer,Technology
$16.75,Corporate,Technology
$37.08,Corporate,Technology
$13.23,Consumer,Technology
$15.04,Consumer,Technology
$118.29,Corporate,Technology
$43.20,Consumer,Technology
$9.60,Consumer,Technology
$7.77,Consumer,Technology
$19.60,Consumer,Technology
$0.70,Consumer,Technology
$109.34,Consumer,Technology
$88.49,Home Office,Technology
$72.00,Corporate,Technology
$66.15,Corporate,Technology
$88.18,Home Office,Technology
$30.72,Consumer,Technology
$1.91,Consumer,Technology
($87.67),Home Office,Technology
$39.69,Corporate,Technology
$35.99,Corporate,Technology
$14.84,Corporate,Technology
$6.72,Consumer,Technology
$13.57,Corporate,Technology
$69.65,Consumer,Technology
$11.51,Consumer,Technology
$47.04,Consumer,Technology
$18.00,Consumer,Technology
$37.50,Consumer,Technology
$12.31,Consumer,Technology
($12.41),Consumer,Technology
$27.72,Home Office,Technology
$38.78,Corporate,Technology
$24.48,Corporate,Technology
$6.12,Corporate,Technology
$82.50,Corporate,Technology
$34.74,Corporate,Technology
$8.00,Consumer,Technology
$1.36,Consumer,Technology
$76.64,Corporate,Technology
$54.40,Home Office,Technology
$56.57,Consumer,Technology
$29.95,Consumer,Technology
$2.46,Consumer,Technology
($2.70),Consumer,Technology
$0.60,Consumer,Technology
$40.69,Corporate,Technology
$53.55,Consumer,Technology
$76.70,Home Office,Technology
($35.99),Corporate,Technology
$21.90,Home Office,Technology
$32.00,Home Office,Technology
$7.26,Consumer,Technology
($3.09),Home Office,Technology
$19.50,Corporate,Technology
$23.00,Consumer,Technology
$6.75,Corporate,Technology
($9.00),Consumer,Technology
$9.13,Corporate,Technology
$22.00,Consumer,Technology
$13.00,Home Office,Technology
$35.99,Consumer,Technology
$607.61,Consumer,Technology
($18.00),Consumer,Technology
($0.09),Corporate,Technology
$19.79,Consumer,Technology
$14.40,Consumer,Technology
$7.20,Consumer,Technology
($4.85),Consumer,Technology
$81.59,Consumer,Technology
$41.99,Consumer,Technology
$89.59,Consumer,Technology
$25.60,Consumer,Technology
$76.79,Corporate,Technology
$0.60,Consumer,Technology
($14.79),Corporate,Technology
$1.36,Home Office,Technology
$65.99,Home Office,Technology
$33.59,Corporate,Technology
$50.38,Home Office,Technology
$21.59,Consumer,Technology
$152.39,Corporate,Technology
($1.43),Corporate,Technology
$53.99,Consumer,Technology
$83.99,Consumer,Technology
$5.03,Consumer,Technology
$1.20,Consumer,Technology
($3.56),Consumer,Technology
($4.64),Consumer,Technology
($8.46),Home Office,Technology
($22.74),Home Office,Technology
$4.56,Corporate,Technology
$29.99,Corporate,Technology
($0.73),Consumer,Technology
$4.82,Consumer,Technology
$85.79,Consumer,Technology
$53.20,Corporate,Technology
$23.26,Corporate,Technology
$71.99,Home Office,Technology
($4.91),Consumer,Technology
$107.99,Consumer,Technology
$89.99,Consumer,Technology
$1.53,Corporate,Technology
$0.50,Consumer,Technology
$48.70,Corporate,Technology
$3.28,Consumer,Technology
$47.50,Corporate,Technology
$13.56,Home Office,Technology
($1.46),Corporate,Technology
$0.85,Home Office,Technology
$4.99,Consumer,Technology
$10.55,Consumer,Technology
$14.07,Consumer,Technology
$2.31,Consumer,Technology
$135.46,Home Office,Technology
$44.00,Consumer,Technology
$89.59,Consumer,Technology
($4.64),Consumer,Technology
($7.72),Consumer,Technology
($0.63),Home Office,Technology
$209.98,Corporate,Technology
($1.19),Consumer,Technology
$1.45,Consumer,Technology
$11.98,Corporate,Technology
$92.00,Home Office,Technology
$34.79,Consumer,Technology
($75.60),Consumer,Technology
($10.80),Home Office,Technology
($26.88),Consumer,Technology
$17.60,Consumer,Technology
$67.99,Home Office,Technology
$4.48,Corporate,Technology
($7.72),Home Office,Technology
$47.96,Consumer,Technology
$179.19,Consumer,Technology
($29.94),Consumer,Technology
($1.05),Consumer,Technology
$76.64,Home Office,Technology
$54.74,Home Office,Technology
($18.59),Consumer,Technology
$2.28,Corporate,Technology
$2.00,Consumer,Technology
$28.76,Corporate,Technology
$64.67,Corporate,Technology
$3.37,Consumer,Technology
($10.80),Consumer,Technology
($13.65),Home Office,Technology
$51.19,Consumer,Technology
($55.30),Consumer,Technology
$76.64,Home Office,Technology
($2.19),Consumer,Technology
$80.48,Consumer,Technology
$1.08,Consumer,Technology
$41.72,Consumer,Technology
$1.20,Corporate,Technology
$0.74,Corporate,Technology
($0.90),Consumer,Technology
$28.79,Consumer,Technology
$22.50,Corporate,Technology
$0.60,Consumer,Technology
$13.20,Consumer,Technology
$28.50,Home Office,Technology
($3.27),Consumer,Technology
$3.01,Corporate,Technology
$10.90,Consumer,Technology
$64.79,Consumer,Technology
$10.58,Home Office,Technology
($29.07),Home Office,Technology
$1.71,Corporate,Technology
($18.19),Consumer,Technology
$8.28,Home Office,Technology
$5.96,Consumer,Technology
($1.20),Home Office,Technology
$13.20,Corporate,Technology
$17.88,Consumer,Technology
$7.50,Consumer,Technology
($1.43),Consumer,Technology
$0.90,Consumer,Technology
$14.63,Consumer,Technology
($4.75),Consumer,Technology
$2.18,Consumer,Technology
($0.34),Consumer,Technology
($6.53),Consumer,Technology
$29.95,Corporate,Technology
$14.00,Consumer,Technology
$81.59,Consumer,Technology
$8.35,Consumer,Technology
($1.29),Corporate,Technology
$19.18,Consumer,Technology
($28.80),Corporate,Technology
$42.89,Consumer,Technology
$17.88,Consumer,Technology
($2.48),Consumer,Technology
($8.17),Consumer,Technology
$2.04,Consumer,Technology
$6.99,Consumer,Technology
($4.90),Consumer,Technology
$15.86,Home Office,Technology
($2.57),Consumer,Technology
($4.14),Consumer,Technology
$4.80,Home Office,Technology
($7.90),Corporate,Technology
$21.42,Corporate,Technology
$8.80,Consumer,Technology
$4.48,Consumer,Technology
$303.80,Consumer,Technology
$8.35,Consumer,Technology
($7.12),Consumer,Technology
$214.47,Corporate,Technology
$239.98,Home Office,Technology
$21.42,Corporate,Technology
($3.09),Home Office,Technology
$16.78,Consumer,Technology
$0.51,Consumer,Technology
$0.51,Consumer,Technology
($75.60),Home Office,Technology
$4.78,Home Office,Technology
$107.79,Consumer,Technology
$12.00,Consumer,Technology
($2.70),Consumer,Technology
$0.48,Consumer,Technology
($5.46),Corporate,Technology
($1.12),Consumer,Technology
$41.72,Home Office,Technology
($10.91),Corporate,Technology
$4.46,Consumer,Technology
($2.92),Consumer,Technology
$11.92,Home Office,Technology
($6.21),Corporate,Technology
$38.40,Home Office,Technology
($1.40),Consumer,Technology
$48.99,Corporate,Technology
$0.71,Corporate,Technology
($12.73),Corporate,Technology
$57.60,Consumer,Technology
$54.39,Corporate,Technology
$15.60,Consumer,Technology
$7.62,Consumer,Technology
$14.40,Home Office,Technology
$4.40,Corporate,Technology
$2.72,Consumer,Technology
$95.19,Consumer,Technology
$0.74,Consumer,Technology
$3.80,Home Office,Technology
($16.61),Consumer,Technology
$7.47,Consumer,Technology
($5.26),Consumer,Technology
($31.60),Consumer,Technology
$0.34,Corporate,Technology
($6.19),Corporate,Technology
($1.75),Corporate,Technology
$0.47,Home Office,Technology
$12.31,Consumer,Technology
$12.00,Home Office,Technology
($6.45),Consumer,Technology
$16.79,Consumer,Technology
$2.21,Corporate,Technology
$190.39,Corporate,Technology
$38.46,Consumer,Technology
$28.80,Consumer,Technology
$32.13,Corporate,Technology
$6.50,Corporate,Technology
$0.72,Consumer,Technology
$10.40,Home Office,Technology
$5.29,Consumer,Technology
$7.26,Consumer,Technology
$9.75,Consumer,Technology
$4.52,Consumer,Technology
$64.67,Home Office,Technology
$64.79,Consumer,Technology
($7.20),Consumer,Technology
$32.13,Corporate,Technology
$42.88,Consumer,Technology
$44.00,Corporate,Technology
($0.27),Consumer,Technology
($7.44),Consumer,Technology
($2.37),Consumer,Technology
$3.57,Home Office,Technology
$7.62,Consumer,Technology
$26.39,Corporate,Technology
$36.00,Consumer,Technology
$24.00,Consumer,Technology
$4.46,Consumer,Technology
$52.50,Consumer,Technology
$0.00,Corporate,Technology
$20.87,Consumer,Technology
($1.36),Home Office,Technology
($0.63),Consumer,Technology
$1.80,Consumer,Technology
($33.32),Home Office,Technology
$16.00,Consumer,Technology
($0.56),Home Office,Technology
$14.40,Corporate,Technology
$20.34,Consumer,Technology
$16.79,Corporate,Technology
$1.66,Corporate,Technology
$48.99,Consumer,Technology
($2.07),Consumer,Technology
$45.14,Consumer,Technology
$6.72,Corporate,Technology
$3.31,Consumer,Technology
$6.43,Consumer,Technology
$29.80,Corporate,Technology
$47.99,Consumer,Technology
$84.66,Consumer,Technology
($27.29),Consumer,Technology
$5.74,Consumer,Technology
($2.92),Home Office,Technology
$20.87,Corporate,Technology
$20.24,Corporate,Technology
($0.60),Consumer,Technology
($8.18),Consumer,Technology
$3.46,Home Office,Technology
$14.40,Consumer,Technology
$13.30,Consumer,Technology
($2.70),Consumer,Technology
($3.27),Consumer,Technology
$28.50,Consumer,Technology
($18.00),Consumer,Technology
($10.80),Corporate,Technology
$1.80,Corporate,Technology
$8.40,Corporate,Technology
($13.44),Consumer,Technology
($1.50),Corporate,Technology
($9.28),Consumer,Technology
$4.40,Consumer,Technology
($6.21),Corporate,Technology
$8.39,Home Office,Technology
($3.64),Corporate,Technology
($5.26),Corporate,Technology
($6.21),Corporate,Technology
$33.91,Home Office,Technology
$21.42,Home Office,Technology
$128.68,Home Office,Technology
$36.40,Corporate,Technology
$8.28,Corporate,Technology
($2.99),Consumer,Technology
$11.20,Consumer,Technology
($26.95),Consumer,Technology
$7.00,Consumer,Technology
$95.99,Consumer,Technology
$25.60,Consumer,Technology
$44.48,Consumer,Technology
($24.29),Consumer,Furniture
$18.12,Consumer,Furniture
$434.99,Consumer,Technology
$55.75,Consumer,Technology
($13.87),Consumer,Furniture
($28.36),Corporate,Furniture
$34.89,Consumer,Furniture
$17.75,Consumer,Furniture
$18.90,Corporate,Technology
$41.79,Corporate,Furniture
$7.20,Corporate,Technology
$19.18,Consumer,Technology
$95.59,Consumer,Furniture
$135.41,Consumer,Furniture
($8.08),Consumer,Furniture
$2.40,Consumer,Technology
($97.74),Consumer,Furniture
($46.14),Consumer,Furniture
$66.64,Home Office,Technology
$20.20,Consumer,Furniture
$145.78,Consumer,Technology
($2.70),Corporate,Furniture
$9.50,Consumer,Furniture
$49.50,Home Office,Technology
($18.11),Consumer,Furniture
$15.84,Consumer,Technology
$60.00,Consumer,Technology
$94.07,Corporate,Technology
$38.36,Corporate,Technology
$7.47,Consumer,Furniture
$22.68,Consumer,Technology
$100.20,Corporate,Furniture
($5.76),Consumer,Furniture
$76.01,Consumer,Furniture
$9.18,Corporate,Furniture
$6.07,Corporate,Furniture
($6.42),Corporate,Furniture
$256.78,Home Office,Furniture
$15.11,Home Office,Technology
$60.15,Consumer,Technology
$141.72,Corporate,Technology
$49.44,Consumer,Technology
$45.29,Consumer,Furniture
$37.80,Consumer,Technology
$28.44,Consumer,Furniture
$31.49,Corporate,Technology
($9.56),Consumer,Technology
$329.99,Corporate,Technology
$23.03,Corporate,Furniture
($16.65),Consumer,Furniture
$27.09,Consumer,Furniture
$16.80,Consumer,Furniture
$42.12,Consumer,Furniture
$12.60,Consumer,Technology
($15.46),Consumer,Technology
$35.76,Consumer,Furniture
$30.24,Corporate,Technology
$18.00,Consumer,Technology
($65.04),Consumer,Furniture
$34.74,Consumer,Technology
$148.70,Home Office,Furniture
$27.10,Corporate,Technology
$13.76,Home Office,Furniture
($0.89),Consumer,Furniture
($17.04),Consumer,Furniture
$8.71,Consumer,Furniture
$73.19,Home Office,Furniture
$11.61,Corporate,Technology
$149.15,Consumer,Furniture
$35.76,Consumer,Furniture
$53.27,Corporate,Technology
$25.02,Consumer,Technology
$0.00,Consumer,Furniture
$1.20,Consumer,Technology
$186.00,Corporate,Technology
$52.00,Consumer,Technology
$2.82,Consumer,Furniture
$80.84,Corporate,Furniture
$50.10,Corporate,Furniture
($99.62),Corporate,Furniture
$224.99,Consumer,Technology
($97.18),Home Office,Furniture
$38.61,Home Office,Technology
($34.07),Corporate,Furniture
$7.05,Consumer,Furniture
($8.00),Corporate,Technology
$43.46,Corporate,Furniture
$102.95,Home Office,Furniture
$3.50,Corporate,Technology
($73.82),Home Office,Furniture
$23.76,Consumer,Technology
($84.82),Consumer,Furniture
$116.24,Consumer,Technology
$22.53,Consumer,Furniture
$19.04,Consumer,Technology
$9.00,Consumer,Technology
($12.78),Consumer,Furniture
$41.76,Corporate,Technology
$47.85,Home Office,Furniture
$839.99,Corporate,Technology
$70.20,Corporate,Furniture
$52.34,Corporate,Furniture
$2.49,Home Office,Furniture
($31.84),Consumer,Furniture
$111.52,Consumer,Furniture
$121.96,Corporate,Technology
$25.50,Home Office,Technology
($8.43),Home Office,Furniture
$9.97,Consumer,Furniture
$415.99,Home Office,Technology
($6.10),Corporate,Furniture
$81.26,Corporate,Furniture
$52.92,Consumer,Technology
$36.00,Consumer,Technology
$90.98,Corporate,Technology
$6.39,Corporate,Furniture
$39.00,Corporate,Technology
$102.95,Home Office,Furniture
$6.72,Consumer,Furniture
$9.00,Corporate,Technology
($9.16),Corporate,Furniture
($59.84),Corporate,Furniture
$5.16,Corporate,Furniture
$2.70,Corporate,Technology
$20.91,Home Office,Furniture
$4.62,Corporate,Technology
($28.27),Consumer,Furniture
$6.97,Consumer,Furniture
($31.99),Consumer,Technology
$4.84,Corporate,Furniture
$36.48,Consumer,Furniture
($38.21),Corporate,Furniture
($23.49),Consumer,Furniture
$5.40,Corporate,Technology
$39.00,Corporate,Technology
($8.00),Corporate,Technology
$77.22,Consumer,Technology
$267.67,Home Office,Furniture
$17.99,Corporate,Technology
$41.70,Home Office,Technology
